"periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,latitud,longitud"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,381,Nombramiento o aceptación ilegal (abuso de autoridad),3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,382,Concusión,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,384,Colusión simple y agravada (concusión),16,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,387,Peculado doloso y culposo (peculado),9,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,388,Peculado de uso (peculado),1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,391,Rehusamiento a entrega de bienes depositados o puestos en custodia,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,393,Cohecho pasivo propio (corrupción de funcionarios),1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,395-A,Cohecho pasivo propio en el ejercicio de la función policial (corrupción de funcionarios),2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,395-B,Cohecho pasivo impropio en el ejercicio de la función policial (corrupción de funcionarios),2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,398,Cohecho activo específico (corrupción de funcionarios),1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,399,Negociación incompatible o aprovechamiento indebido de cargo (corrupción de funcionarios),11,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,380,Abandono de cargo (abuso de autoridad),2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
